month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202209,Alaska,AK,399700,0,0.1679,1584,-0.0964,-0.0862,58,0.2637,0.2366,870,-0.1159,-0.1651,20,-0.1667,-0.2857,562,-0.2385,-0.0757,102,0.0201,-0.2311,218,0.0078,0.115,1904,0.0024,0.0846,468115,0.0147,0.1462,1682,-0.0901,-0.1003,0.0641,0.0073,-0.0121,0
202209,Hawaii,HI,865500,-0.0165,0.124,3132,-0.0106,0.2163,62,0.1126,0.2732,1502,0.0135,-0.2258,42,0.4,-0.5714,910,0.0089,1.3698,2011,-0.0202,-0.2818,676,-0.0039,0.083,1272,-0.0195,0.0258,1587588,-0.0149,-0.0164,5115,-0.0203,-0.0468,0.6421,-0.0063,-0.4453,0
202209,Iowa,IA,279500,0.0164,0.288,7036,0.0227,0.0424,53,0.0606,0.1053,4048,-0.0025,-0.0681,380,-0.2578,-0.2884,2760,0.0299,0.1349,5299,-0.085,-0.2425,166,0.0067,0.2006,1603,0,0.0382,330291,0.0089,0.2047,12210,-0.0265,-0.0984,0.7531,-0.0887,-0.2833,0
202209,New York,NY,582450,0.0094,0.0609,39331,0.0017,-0.0448,69,0.123,0.0301,19708,0.1967,-0.1408,354,-0.0923,-0.3493,8756,0.0986,0.0942,21673,-0.0457,-0.1929,329,0.0032,0.0219,1600,-0.0054,0,1255051,0.0351,0.0333,60411,-0.02,-0.11,0.551,-0.0274,-0.1011,0
202209,Georgia,GA,394900,-0.0103,0.124,28382,0.0173,0.396,45,0.1392,0.0112,17418,-0.0516,-0.061,798,-0.167,-0.4708,13212,0.0561,1.1581,19135,-0.0484,-0.2918,181,-0.0052,0.1182,2198,-0.0009,0.0314,527405,-0.0194,0.0499,46978,-0.0118,0.0069,0.6742,-0.0465,-0.6548,0
202209,Connecticut,CT,475000,0,0.1257,5558,-0.0322,-0.2235,47,0.175,0.0217,3830,-0.0401,-0.2126,72,0.0588,-0.3077,1840,0.076,-0.1246,6827,-0.0993,-0.2789,232,0.003,0.0218,2063,0.0007,0.1215,1037480,0.0095,0.1519,12383,-0.069,-0.2536,1.2283,-0.0915,-0.0944,0
202209,Arizona,AZ,477500,-0.0245,0.0623,23791,0.0234,1.2853,48,0.2152,0.4769,11844,-0.045,-0.0803,480,-0.0875,-0.375,17916,0.0605,2.9359,11053,-0.028,-0.3223,268,-0.0159,0.1093,1874,-0.0073,-0.0296,664864,-0.0145,-0.0204,35009,0.0124,0.3116,0.4646,-0.0245,-1.1021,1
202209,Idaho,ID,549900,-0.0065,0.0475,8822,-0.0055,0.7849,59,0.2188,0.625,3324,-0.1266,-0.1559,150,0.3393,-0.2718,5640,0.0079,0.9803,3769,-0.0253,-0.3021,275,-0.0149,0.0266,2114,-0.0005,0.0067,801994,-0.0119,0.0119,12574,-0.0116,0.219,0.4272,-0.0087,-0.6654,1
202209,Oklahoma,OK,281669,0.006,0.2044,9046,0.0108,0.2764,52,0.1685,0.1556,5356,-0.0547,-0.1544,172,0.1026,-0.3986,3618,-0.0295,0.5305,6728,-0.0746,-0.2295,149,0.0068,0.1708,1881,0.0075,0.0408,373568,-0.0028,0.1036,15761,-0.0267,-0.0035,0.7438,-0.0686,-0.4885,0
202209,Maine,ME,387000,0.0176,0.1745,3375,-0.0398,-0.0465,50,0.1512,0.0761,2094,-0.026,-0.0951,26,-0.2778,-0.4583,1058,-0.0895,0.145,1006,0.0156,-0.3048,227,-0.0062,0.1332,1696,0.0095,0.0107,572509,0.0185,0.1757,4376,-0.0276,-0.1215,0.2981,0.0163,-0.1107,0
